store_id,item_number,ordering_day,delivery_day,recommended_quantity
store_a,1001,2024-01-01,2024-01-02,18
store_a,1001,2024-01-02,2024-01-03,10
store_a,1001,2024-01-03,2024-01-04,15
store_a,1001,2024-01-04,2024-01-05,15
store_a,1001,2024-01-05,2024-01-06,25
store_a,1001,2024-01-06,2024-01-08,22
store_a,1001,2024-01-08,2024-01-09,0
store_a,1001,2024-01-09,2024-01-10,10
store_a,1001,2024-01-10,2024-01-11,15
store_a,1001,2024-01-11,2024-01-12,13
store_a,1001,2024-01-12,2024-01-13,25
store_a,1001,2024-01-13,2024-01-15,20
store_a,1001,2024-01-15,2024-01-16,0
store_a,1001,2024-01-16,2024-01-17,10
store_a,1001,2024-01-17,2024-01-18,20
store_a,1001,2024-01-18,2024-01-19,11
store_a,1001,2024-01-19,2024-01-20,19
store_a,1001,2024-01-20,2024-01-22,19
store_a,1001,2024-01-22,2024-01-23,0
store_a,1001,2024-01-23,2024-01-24,12
store_a,1001,2024-01-24,2024-01-25,14
store_a,1001,2024-01-25,2024-01-26,13
store_a,1001,2024-01-26,2024-01-27,19
store_a,1001,2024-01-27,2024-01-29,22
store_a,1001,2024-01-29,2024-01-30,0
STORE_A,1001,2024-01-30,2024-01-31,13
store_a,1001,2024-01-31,2024-02-01,8
store_a,1001,2024-02-01,2024-02-02,15
store_a,1001,2024-02-02,2024-02-03,20
 store_a,1001,2024-02-03,2024-02-05,23
store_a,1001,2024-02-05,2024-02-06,0
store_a,1001,2024-02-06,2024-02-07,11
store_a,1001,2024-02-07,2024-02-08,15
store_a,1001,2024-02-08,2024-02-09,14
store_a,1001,2024-02-09,2024-02-10,21
store_a,1001,2024-02-10,2024-02-12,22
store_a,1001,2024-02-12,2024-02-13,4
store_a,1001,2024-02-13,2024-02-14,16
store_a,1001,2024-02-15,2024-02-16,22
store_a,1001,2024-02-16,2024-02-17,22
store_a,1001,2024-02-17,2024-02-19,18
store_a,1001,2024-02-19,2024-02-20,1
store_a,1001,2024-02-20,2024-02-21,12
store_a,1001,2024-02-21,2024-02-22,17
store_a,1001,2024-02-22,2024-02-23,14
store_a,1001,2024-02-23,2024-02-24,23
store_a,1001,2024-02-24,2024-02-26,22
store_a,1001,2024-02-26,2024-02-27,7
store_a,1001,2024-02-27,2024-02-28,9
store_a,1001,2024-02-28,2024-02-29,18
store_a,1001,2024-02-29,2024-03-01,12
store_a,1001,2024-03-01,2024-03-02,18
store_a,1001,2024-03-02,2024-03-04,24
store_a,1001,2024-03-04,2024-03-05,1
store_a,1001.0,2024-03-05,2024-03-06,17
store_a,1001,2024-12-11,2024-12-12,11
store_a,1001,2024-03-06,2024-03-07,12
store_a,1001,2024-03-07,2024-03-08,10
store_a,1001,2024-03-08,2024-03-09,22
store_a,1001,2024-03-09,2024-03-11,20
store_a,1001,2024-03-11,2024-03-12,8
store_a,1001,2024-03-12,2024-03-13,10
store_a,1001,2024-03-13,2024-03-14,17
store_a,1001,2024-03-14,2024-03-15,9
store_a,1001,2024-03-15,2024-03-16,24
store_a,1001,2024-03-16,2024-03-18,21
store_a,1001,2024-03-18,2024-03-19,2
store_a,1001,2024-03-19,2024-03-20,12
store_a,1001,2024-03-20,2024-03-21,11
store_a,1001,2024-03-21,2024-03-22,20
store_a,1001,2024-03-22,2024-03-23,24
store_a,1001,2024-03-23,2024-03-25,20
store_a,1001,2024-03-25,2024-03-26,3
store_a,1001,2024-03-26,2024-03-27,16
store_a,1001,2024-03-27,2024-03-28,13
store_a,1001,2024-03-28,2024-03-29,14
store_a,1001,2024-03-29,2024-03-30,23
store_a,1001,2024-03-30,2024-04-01,26
store_a,1001,2024-04-01,2024-04-02,3
store_a,1001,2024-04-02,2024-04-03,15
store_a,1001,2024-04-03,2024-04-04,16
store_a,1001,2024-04-05,2024-04-06,30
store_a,1001,2024-04-06,2024-04-08,19
