store_id,item_number,ordering_day,delivery_day,purchase_price,suggested_retail_price,profit_margin,tags,category
store_a,1022,2024-09-30,2024-10-01,1.74,3.2,0.4474,,Fruits
store_b,1010,2024-05-16,2024-05-17,1.75,3.39,0.4777,new,Fruits
store_a,1032,2024-12-11,2024-12-12,0.52,1.0,0.5097,,Vegetables
store_a,1026,2024-01-03,2024-01-04,0.44,0.91,0.47,,Vegetables
store_b,1024,2024-12-02,2024-12-03,1.24,2.43,0.4891,,Fruits
store_a,1023,2024-06-26,2024-06-27,1.98,3.5,0.475,,Fruits
store_a,1001,2024-07-16,2024-07-17,0.87,1.45,0.3827,,Fruits
store_a,1012,2024-08-02,2024-08-03,1.61,2.95,0.4506,,Fruits
store_a,1046,2024-03-11,2024-03-12,0.61,1.12,0.4405,,Vegetables
store_a,1013,2024-01-13,2024-01-15,0.37,0.68,0.4969,,Fruits
store_a,1030,2024-06-05,2024-06-06,0.63,0.97,0.4111,,Vegetables
store_a,1011,2024-01-26,2024-01-27,2.21,3.99,0.4691,,Fruits
store_b,1017,2024-04-23,2024-04-24,1.47,2.43,0.4299,,Fruits
store_a,1009,2024-05-27,2024-05-28,0.7,1.2,0.407,,Fruits
store_b,1014,2024-08-03,2024-08-05,0.88,1.57,0.4201,,Fruits
store_a,1017,2024-01-02,2024-01-03,1.44,2.55,0.4286,price_change,FRUITS
 store_b,1001,2024-11-06,2024-11-07,0.92,1.47,0.4116,,fruits
store_b,1003,2024-07-06,2024-07-08,0.91,1.79,0.4602,,Fruits
store_a,1037,2024-10-07,2024-10-08,0.26,0.5,0.466,,Vegetables
store_b,1008,2024-02-14,2024-02-15,1.41,2.77,0.5066,,Fruits
store_b,1011,2024-01-31,2024-02-01,2.2,3.92,0.4273,new,Fruits
store_b,1019,2024-12-28,2024-12-30,1.02,1.89,0.4526,,Fruits
store_b,1021,2024-12-03,2024-12-04,0.63,1.16,0.4477,,Fruits
store_b,1019,2024-07-20,2024-07-22,0.98,1.84,0.4588,,Fruits
store_a,1024,2024-04-19,2024-04-20,1.27,2.42,0.4921,,Fruits
store_a,1015,2024-01-11,2024-01-12,1.2,2.31,0.4575,,Fruits
